variable_name,display_name,scale,mapper,ignore_strings,splitter,missing_data_policy,unable_to_detect_policy,recode_func,role,web_filter_prio,web_timeline_prio,web_viz_prio,web_viz_log,web_viz_bins,web_display_prio,description,section,accepted_labels
B_label,Zeeschuimer label,string,{},[],,drop,,,standard,,,,,,,TBD,backstage,
B_log_script,Zeescuimer log script,string,{},[],,drop,,,standard,,,,,,,TBD,backstage,
B_source_app_language,App language,categorical,{},[],,drop,,,skip,,,,,,,TBD,backstage,
B_source_browser_language,Browser language,categorical,{},[],,drop,,,skip,,,,,,,TBD,backstage,
B_source_language,Source language,categorical,{},[],,drop,,,skip,,,,,,,TBD,backstage,
B_source_region,Source region,categorical,{},[],,drop,,,skip,,,,,,,TBD,backstage,
D_feature_name,Donation event type,string,{},[],,drop,,recode_long_strings,standard,,,,,,,TBD,backstage,
D_primary_label,Donation primary label,string,{},[],,drop,,recode_long_strings,standard,,,,,,,TBD,backstage,
D_primary_value,Dontation primary value,string,{},[],,drop,,recode_long_strings,standard,,,,,,,TBD,backstage,
D_sample_id,Donation sample id,interval,{},[],,drop,,,standard,,,,,,,TBD,backstage,
date_added_to_dataset,,datetime,,,,drop,,,standard,,,,,,,TBD,backstage,
event_id,,ratio,,,,drop,,,standard,,,,,,,TBD,backstage,
S_video_downloaded,Video downloaded,,,,,drop,,,standard,,,,,,,TBD,backstage,
scraped_ok,Scrape OK,,,,,drop,,,standard,,,,,,,TBD,backstage,
scrape_fail,Scrape Failed,,,,,drop,,,standard,,,,,,,TBD,backstage,
D_propagation_status,,,,,,drop,,,standard,,,,,,,TBD,backstage,
event_order_in_session,Event order in session,ordinal,{},[],,drop,,,standard,,,,,,,TBD,backstage,
event_pos_in_session,Event pos in session,interval,{},[],,drop,,,standard,,,,,,,TBD,backstage,
session_id,Session id,factor,{},[],,drop,,,factor,,,,,,,TBD,backstage,
S_image_list,,,,,,drop,,,standard,,,,,,,TBD,backstage,
B_anchors,Anchors (Zeeschuimer),string,{},[],,drop,keep,recode_long_strings,standard,,,,,,,TBD,backstage,
S_anchors,Anchors ,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,TBD,backstage,
B_author_id,,,,,,drop,,,standard,,,,,,,Unique internal identifier for the content creator.,creator,
B_author_uniqueId,Author uniqueId,string,{},[],,drop,keep,recode_long_strings,standard,,,,,,,The creator's unique username handle.,creator,
B_authorStats_diggCount,,ratio,,,,drop,,,standard,,,,,,,Total likes received by the creator across all videos.,creator,
B_authorStats_followerCount,,ratio,,,,drop,,,standard,,,,,,,Total number of followers the creator has.,creator,
B_authorStats_followingCount,,ratio,,,,drop,,,standard,,,,,,,Total number of accounts the creator follows.,creator,
B_authorStats_friendCount,,ratio,,,,drop,,,standard,,,,,,,Number of mutual follows (friends) the creator has.,creator,
B_authorStats_heartCount,,ratio,,,,drop,,,standard,,,,,,,Total hearts received by the creator (similar to likes).,creator,
B_authorStats_videoCount,,ratio,,,,drop,,,standard,,,,,,,Total number of videos uploaded by the creator.,creator,
S_author_nickname,Author nickname,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,The display name shown on the creator's profile.,creator,
S_author_signature,Author signature,string,{},[],,drop,keep,recode_long_strings,standard,,,,,,,The text content of the creator's bio.,creator,
S_author_uniqueId,Author uniqueId,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,The creator's unique username handle,creator,
G_CRA_complexity_vs_stereotypes,Complexity vs Stereotypes,string,GENERIC_MAPPER,[], | ,drop,empty,recode_long_strings,standard,,,,,,1101,AI analysis of nuanced representation versus clichéd tropes.,Cultural Representation Analysis,
G_CRA_inclusion_and_exclusion,Includsion and Exclusion,string,GENERIC_MAPPER,[], | ,drop,empty,recode_long_strings,standard,,,,,,1102,AI analysis of who is represented versus marginalized.,Cultural Representation Analysis,
